"Region","Year","mean_poverty","median_poverty","mean_inequality","median_inequality"
"Latin America",2016,3.9878934,4.7337537,9.59043575703145,9.48478956064439
"Latin America",2017,4.821106,4.821106,10.5495623682045,10.5495623682045
"Latin America",2018,3.89343693333333,4.4982615,9.63281185130398,9.32668609866687
"Latin America",2019,5.3469801,5.3469801,11.309410792477,11.309410792477
"Latin America",2020,4.48095633333333,2.1319396,9.10687820615669,8.11764452571419
"Latin America",2021,6.584614,6.584614,12.3338854777787,12.3338854777787
"Latin America",2022,3.57384293333333,3.5053015,9.78557706288122,10.6806931047579
"Other",1963,1.2488154,1.2488154,6.36379704143355,6.36379704143355
"Other",1964,1.2425098,1.2425098,6.30577887350528,6.30577887350528
"Other",1965,0.99959636,0.99959636,6.26725895136252,6.26725895136252
"Other",1966,0.9982232,0.9982232,6.58866200215694,6.58866200215694
"Other",1967,0.998477,0.998477,6.01298548338059,6.01298548338059
"Other",1968,0.7472127,0.7472127,5.7633162386181,5.7633162386181
"Other",1969,0.4991601,0.4991601,5.69551484976627,5.69551484976627
"Other",1970,0.99295706,0.99295706,5.98141923246738,5.98141923246738
"Other",1971,1.498374,1.498374,6.12246546163071,6.12246546163071
"Other",1972,0.74866146,0.74866146,6.14731445888594,6.14731445888594
"Other",1973,1.2490555,1.2490555,5.71501495023907,5.71501495023907
"Other",1974,0.74715984,0.74715984,5.74843486707091,5.74843486707091
"Other",1975,0.8295198,0.49898672,4.65298810717726,5.12337184845599
"Other",1976,0.49868184,0.49868184,5.7921370513992,5.7921370513992
"Other",1977,0.8745797,0.8745797,5.3979686199657,5.3979686199657
"Other",1978,0.499942,0.499942,5.52005316935705,5.52005316935705
"Other",1979,1.63460974,0.49982077,6.0652503123428,5.29869522649563
"Other",1980,5.485361425,0.49822285,8.16279712994498,6.40494810260373
"Other",1981,20.34608075,0.8714262,6.12555197787401,4.58370757428436
"Other",1982,0.72941584,0.7431093,5.07218799498702,4.84847283766203
"Other",1983,0.479037375,0.479037375,4.94264437829999,4.94264437829999
"Other",1984,36.0075636616667,28.836001,4.8591636594385,4.30057584995232
"Other",1985,0.353667758571429,0.2401878,4.31115398027589,4.56589824553405
"Other",1986,10.2886247525,0.74719029,6.77640237141908,6.08153821206605
"Other",1987,8.72202487833333,0.49947655,5.52909457954164,3.75669268342167
"Other",1988,2.33605465,0.4778089,5.8113791565659,4.27621157027749
"Other",1989,9.99876763411765,1.24935,13.390362596583,7.46836855489906
"Other",1990,6.851186694,1.1371148,7.16551525339232,6.57576520302322
"Other",1991,7.92167598230769,1.2476625,9.78476618839358,6.44138502613138
"Other",1992,4.26463784041667,0.653875,5.72956572117238,5.85538878685575
"Other",1993,8.69987160277778,1.2481956,7.50110901240576,4.95326933828912
"Other",1994,6.15229706,1.5762742,7.0807741029666,5.87656767068155
"Other",1995,5.44646552857143,1.09839113,7.46476445262818,5.18422465927476
"Other",1996,5.41915041470588,1.4934819,7.18696705925027,6.48161496474629
"Other",1997,5.89396031238095,0.9859978,9.11915822796825,6.96829786268949
"Other",1998,10.2911383321053,10.43187,11.0065614360383,10.2095230876258
"Other",1999,9.12341204285714,6.818424,16.1958120203595,9.9582921904447
"Other",2000,7.08225473185185,0.67538816,9.5377139094735,5.9908005592577
"Other",2001,11.2295720221053,8.234787,11.1958949883637,9.5395325010982
"Other",2002,7.3797434631579,4.6752872,9.99651277926258,10.1292262383974
"Other",2003,5.12375755119355,0.9973307,7.53126969157621,6.0685811736478
"Other",2004,3.73273690792308,0.64183205,6.56153674708003,4.69629644669967
"Other",2005,3.75466899506154,0.7379749,7.12120740247606,4.90446460610841
"Other",2006,3.43319902355556,0.65885246,6.72526393844791,4.85048755023917
"Other",2007,2.23932770739024,0.4103244,6.02536949712533,4.59133009574908
"Other",2008,1.9708053325,0.39693947,5.93716736574304,4.61345595865949
"Other",2009,2.44722847082222,0.62663525,5.93867271116535,4.81283420423116
"Other",2010,1.79540686576744,0.4951079,5.70633921737769,4.64364653265009
"Other",2011,1.7984906356,0.580298,5.87695824795584,4.90587280841724
"Other",2012,3.38616906811739,0.72147468,6.26375257518391,5.26859998106105
"Other",2013,1.58845378873469,0.6666751,5.8568440766448,5.58529793180532
"Other",2014,1.8265930031875,0.6665618,5.79714574035804,5.36569495852619
"Other",2015,1.70955089820833,0.61309767,5.85639396225112,5.39203460316432
"Other",2016,1.568211098875,0.6314711,5.60827452597397,4.9265789156738
"Other",2017,1.36858906576,0.385101945,5.4639107618572,4.97765746764122
"Other",2018,1.18479650963462,0.398776465,5.35586554878413,4.72300171349374
"Other",2019,1.00825919236957,0.384029935,5.30088462164455,4.75737925207788
"Other",2020,0.840754352146341,0.34865937,5.16123111762482,4.67823455673454
"Other",2021,0.761285103814634,0.39730492,5.10639050521078,4.6091501829675
"Other",2022,1.458565164,1.06802962,6.8477004717709,6.743056073972
"Other",2023,1.98974798,1.2881935,9.43491169432961,9.01821347117237
